Model,R²,RMSE,MAE
XGBoost - Morgan + Descriptors,0.8121354040420872,0.6144127205979761,0.4364866122769603
Random Forest - Morgan + Descriptors,0.8099995860754865,0.6178954550343887,0.43945186627610205
Random Forest - Descriptors,0.6509501138824321,0.8374935626306321,0.6285173220300985
