canonical_smiles,molecule_chembl_id,pchembl_value,standard_units,standard_value,units,value,pIC50,Activity Class,Valid_SMILES,Molecular_Weight,LogP,TPSA,H_Bond_Donors,H_Bond_Acceptors,Rotatable_Bonds,Ring_Count,Lipinski_Violations,Drug_Likeness,Predicted_pIC50,Absorption_Score,Permeability_Score,DrugLikeness_Score,ADMET_Proxy_Score,ADMET_Profile,Activity_Score,Target_Confidence,Lead_Score,Lead_Score_Percent,Scaffold,Fraction_CSP3,Heavy_Atom_Count,Aromatic_Rings,NHOH_Count,NO_Count,BBB_Suitability,BBB_Profile,Solubility_Score,Developability_Score,Advanced_ADMET_Score,Advanced_ADMET_Profile,Final_Lead_Score,Final_Lead_Score_Percent,Rank
COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(OC)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,CHEMBL208578,,nM,50000.0,uM,50.0,4.301029995663981,Low Activity,True,580.5450000000002,6.043000000000006,148.8,3,10,6,6,2,Fail,4.4981594,0.15000000000000002,0.19999999999999996,0.5,0.27,Unfavourable,0.2373321,0.897767398252352,0.31955442273091594,31.955442273091595,O=c1cc(-c2cccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)c2)oc2ccccc12,0.09090909090909091,43,6,3,10,0.2,Low Suitability,2.7755575615628914e-17,0.20000000000000004,0.14750000000000002,Unfavourable,0.2321576670408249,23.21576670408249,1393
COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,CHEMBL377324,4.88,nM,13200.0,uM,13.2,4.87942606879415,Low Activity,True,566.5180000000003,5.740000000000006,159.8,4,10,5,6,2,Fail,4.791757,0.15000000000000002,0.0,0.5,0.21000000000000002,Unfavourable,0.28567857,0.897767398252352,0.32572765266370096,32.5727652663701,O=c1cc(-c2cccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)c2)oc2ccccc12,0.0625,42,6,4,10,0.0,Low Suitability,2.7755575615628914e-17,0.20000000000000004,0.06750000000000002,Unfavourable,0.23074820804595947,23.074820804595948,1394
COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4c(OC)cc5oc(-c6ccc(O)cc6)cc(=O)c5c4O)c3o2)cc1,CHEMBL4536141,,nM,50000.0,uM,50.0,4.301029995663981,Low Activity,True,580.5450000000003,6.043000000000006,148.8,3,10,6,6,2,Fail,4.482448,0.15000000000000002,0.19999999999999996,0.5,0.27,Unfavourable,0.2347449,0.897767398252352,0.31826082312535564,31.826082312535565,O=c1cc(-c2ccccc2)oc2ccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)cc12,0.09090909090909091,43,6,3,10,0.2,Low Suitability,2.7755575615628914e-17,0.20000000000000004,0.14750000000000002,Unfavourable,0.23073469555377962,23.07346955537796,1395
CC1=C(CC(=O)NCCCNCCCNC2=CC(=O)C(NCCCNCCCNC(=O)CC3=C(C)/C(=C\c4ccc([S+](C)[O-])cc4)c4ccc(F)cc43)=CC2=O)c2cc(F)ccc2/C1=C/c1ccc([S+](C)[O-])cc1,CHEMBL3087675,5.09,nM,8180.0,uM,8.18,5.087246696328677,Low Activity,True,1043.3160000000003,7.64620000000001,186.58,6,10,26,7,3,Fail,5.088759,2.7755575615628914e-17,0.0,0.25,0.07500000000000001,Unfavourable,0.3345856,0.897767398252352,0.2721811734385423,27.21811734385423,O=C(CC1=CC(=Cc2ccccc2)c2ccccc21)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)CC2=CC(=Cc3ccccc3)c3ccccc32)=CC1=O,0.3103448275862069,74,4,6,12,0.0,Low Suitability,0.15000000000000002,0.20000000000000004,0.06000000000000002,Unfavourable,0.23002208387851716,23.002208387851717,1396
COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1,CHEMBL1208903,5.00,nM,10100.0,uM,10.1,4.995678626217358,Low Activity,True,566.5180000000003,5.740000000000006,159.8,4,10,5,6,2,Fail,4.76584,0.15000000000000002,0.0,0.5,0.21000000000000002,Unfavourable,0.2814108,0.897767398252352,0.3235937765784196,32.35937765784196,O=c1cc(-c2cccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)c2)oc2ccccc12,0.0625,42,6,4,10,0.0,Low Suitability,2.7755575615628914e-17,0.20000000000000004,0.06750000000000002,Unfavourable,0.2284009473323822,22.84009473323822,1397
COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4c(OC)cc5oc(-c6ccc(O)cc6)cc(=O)c5c4O)c3o2)cc1,CHEMBL4554693,4.80,nM,15900.0,uM,15.9,4.798602875679548,Low Activity,True,566.5180000000003,5.740000000000006,159.8,4,10,5,6,2,Fail,4.748379,0.15000000000000002,0.0,0.5,0.21000000000000002,Unfavourable,0.27853554,0.897767398252352,0.32215614234875956,32.21561423487596,O=c1cc(-c2ccccc2)oc2ccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)cc12,0.0625,42,6,4,10,0.0,Low Suitability,2.7755575615628914e-17,0.20000000000000004,0.06750000000000002,Unfavourable,0.22681954669952392,22.681954669952393,1398
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,CHEMBL4463033,4.76,nM,17300.0,uM,17.3,4.761953896871205,Low Activity,True,566.5180000000004,5.7400000000000055,159.8,4,10,5,6,2,Fail,4.7416773,0.15000000000000002,0.0,0.5,0.21000000000000002,Unfavourable,0.27743196,0.897767398252352,0.3216043523497514,32.16043523497514,O=c1cc(-c2ccccc2)oc2c(-c3cccc4c(=O)cc(-c5ccccc5)oc34)cccc12,0.0625,42,6,4,10,0.0,Low Suitability,2.7755575615628914e-17,0.20000000000000004,0.06750000000000002,Unfavourable,0.22621257770061493,22.621257770061494,1399
CCN1/C(=C/C=C/c2sc3ccc(OCCCO[N+](=O)[O-])cc3[n+]2CC)Sc2ccc(OCCCO[N+](=O)[O-])cc21.O=S(=O)([O-])C(F)(F)F,CHEMBL3593276,4.58,nM,26000.0,uM,26.0,4.585026652029182,Low Activity,True,752.7680000000004,5.701300000000007,187.52,0,14,16,4,3,Fail,4.73656,2.7755575615628914e-17,0.19999999999999996,0.25,0.135,Unfavourable,0.27658927,0.897767398252352,0.2611830071158342,26.11830071158342,C(=Cc1[nH+]c2ccccc2s1)C=C1Nc2ccccc2S1,0.39285714285714285,49,3,0,15,0.2,Low Suitability,0.15000000000000002,0.20000000000000004,0.14,Unfavourable,0.22612410688400267,22.612410688400267,1400
COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,CHEMBL4545404,4.48,nM,32800.0,uM,32.8,4.484126156288321,Low Activity,True,566.5180000000004,5.7400000000000055,159.8,4,10,5,6,2,Fail,4.684889,0.15000000000000002,0.0,0.5,0.21000000000000002,Unfavourable,0.26808065,0.897767398252352,0.31692869579266825,31.692869579266826,O=c1cc(-c2ccccc2)oc2ccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)cc12,0.0625,42,6,4,10,0.0,Low Suitability,2.7755575615628914e-17,0.20000000000000004,0.06750000000000002,Unfavourable,0.22106936740875244,22.106936740875245,1401
COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O)c3o2)cc1,CHEMBL374055,4.70,nM,20100.0,uM,20.1,4.696803942579511,Low Activity,True,566.5180000000003,5.740000000000006,159.8,4,10,5,6,2,Fail,4.6153812,0.15000000000000002,0.0,0.5,0.21000000000000002,Unfavourable,0.2566349,0.897767398252352,0.3112058154292039,31.12058154292039,O=c1cc(-c2cccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)c2)oc2ccccc12,0.0625,42,6,4,10,0.0,Low Suitability,2.7755575615628914e-17,0.20000000000000004,0.06750000000000002,Unfavourable,0.21477419304847717,21.477419304847718,1402
